hr,steps,gsr,calories,temp,sent_num
94.0,0,8.677290000000001e-05,2.0,87.8,P
90.0,0,0.00071489,1.9,87.8,N
104.0,0,6.5795e-05,2.7,89.6,N
104.0,0,4.59082,2.7,86.9,N
108.0,0,0.00937596,2.9,89.6,P
95.0,0,8.92078e-05,2.2,88.7,P
95.0,0,5.5421000000000004e-05,1.4,88.7,P
100.0,0,5.5421000000000004e-05,2.2,87.8,P
106.0,0,0.00177201,2.7,78.8,P
104.0,60,0.000346209,2.8,87.8,P
101.0,0,5.79302e-05,2.3,89.6,P
104.0,0,5.85751e-05,2.7,89.6,N
89.0,12,5.76104e-05,1.8,88.7,N
94.0,0,5.76104e-05,1.9,88.7,P
109.0,0,0.000237618,3.0,88.7,P
94.0,0,5.85751e-05,2.0,87.8,N
96.0,0,5.98864e-05,2.1,88.7,P
96.0,0,5.69762e-05,2.2,88.7,P
87.0,0,5.76104e-05,1.8,87.8,P
107.0,0,0.000112555,2.6,85.1,N
95.0,0,6.435430000000001e-05,2.0,87.8,N
105.0,0,5.69762e-05,2.6,89.6,P
102.0,0,9.85534e-05,2.4,87.8,N
98.0,0,0.000116355,2.2,87.8,P
100.0,0,0.000504427,2.3,86.9,N
89.0,0,5.72925e-05,1.6,90.5,P
96.0,0,5.5728599999999994e-05,2.1,83.3,P
98.0,0,5.66617e-05,2.3,87.8,N
74.0,0,5.1005500000000005e-05,1.5,77.9,P
91.0,0,5.2147399999999995e-05,1.8,79.7,N
98.0,0,0.000133623,2.3,82.4,P
98.0,2,0.00293233,2.2,86.9,N
101.0,10,0.000449075,2.4,92.3,N
107.0,0,0.000179178,2.9,87.8,P
112.0,20,0.00048525699999999995,3.6,93.2,P
93.0,0,0.000294868,1.9,86.9,P
96.0,0,0.000275919,2.1,86.9,N
91.0,0,5.66617e-05,1.8,87.8,P
96.0,0,5.5115100000000004e-05,1.4,85.1,N
79.0,0,5.48109e-05,1.5,84.2,P
97.0,0,5.9555799999999997e-05,2.3,90.5,P
110.0,0,0.00136611,3.1,86.9,P
102.0,2,0.014925799999999998,2.6,86.9,P
96.0,0,0.0216268,2.2,88.7,P
91.0,0,0.00024428599999999997,1.9,89.6,P
96.0,0,6.83943e-05,2.3,90.5,P
88.0,0,0.0108272,1.7,90.5,P
86.0,0,0.0395375,1.4,89.6,N
88.0,0,5.98864e-05,1.5,84.2,P
88.0,28,0.0017525,1.9,85.1,N
88.0,10,0.00041559,1.7,89.6,P
113.0,1,5.82517e-05,3.8,86.9,N
113.0,0,6.50707e-05,3.7,86.0,P
111.0,0,0.12853499999999998,3.5,91.4,N
99.0,0,0.527226,2.4,92.3,N
98.0,0,0.000140448,2.5,89.6,N
119.0,0,4.1325400000000005,7.0,89.6,P
104.0,0,0.0051003,2.7,92.3,P
106.0,0,0.0901941,2.8,88.7,P
101.0,0,0.000322173,2.6,85.1,P
101.0,0,0.00018522799999999998,2.4,86.9,P
106.0,0,0.643478,2.7,87.8,P
88.0,0,0.00100757,1.7,88.7,P
95.0,0,0.0005572719999999999,2.0,90.5,P
98.0,0,5.79302e-05,2.1,89.6,P
95.0,0,5.69762e-05,2.0,88.7,N
95.0,0,5.5421000000000004e-05,1.9,86.0,P
90.0,0,7.18876e-05,1.7,85.1,N
88.0,0,0.000325759,1.7,78.8,P
76.0,0,7.94187e-05,1.5,87.8,P
97.0,0,6.91556e-05,2.2,87.8,P
94.0,0,5.72925e-05,1.9,89.6,P
91.0,0,5.72925e-05,1.7,87.8,P
88.0,0,5.69762e-05,1.6,88.7,P
81.0,0,5.69762e-05,1.6,88.7,P
91.0,0,5.66617e-05,1.7,88.7,P
79.0,0,5.6349e-05,1.4,88.7,P
81.0,0,6.80167e-05,1.5,88.7,P
89.0,0,5.5421000000000004e-05,1.6,86.9,P
81.0,0,7.10962e-05,1.5,89.6,N
86.0,0,5.82517e-05,1.6,90.5,P
89.0,0,0.00025676299999999997,1.8,87.8,P
90.0,0,0.000113179,1.6,90.5,P
101.0,2,7.43151e-05,2.3,89.6,P
93.0,0,8.30144e-05,1.9,88.7,N
87.0,0,8.629389999999999e-05,1.6,91.4,P
86.0,0,0.000111316,1.5,89.6,N
88.0,0,0.00014280000000000003,1.7,90.5,P
83.0,0,9.58634e-05,1.4,90.5,P
